isbn,titulo,precio,autor,editorial,categoria
1521,Enim iusto delectus.,42.85,Silvestre Montenegro-Quirós,Servicios FFN S.A.,Ficción
1528,Fugit ipsa distinctio consectetur.,79.65,Plácido Giralt Vizcaíno,Familia Diaz S.L.,Ficción
1536,Sunt explicabo deserunt at asperiores.,67.46,Nando Fuentes Alvarado,Mendoza y Barba S.Com.,Ficción
1548,Recusandae maiores voluptatibus natus minus doloremque.,26.35,Jacobo Font Cabañas,Supermercados CBL S.L.,Ficción
1553,Voluptates atque occaecati numquam consequatur error.,52.29,José Palomar Pujadas,Hnos Huguet S.A.,Ficción
1554,Nihil porro tempore delectus perspiciatis.,88.52,Lupita del Páez,Hnos Huguet S.A.,Ficción
1559,Mollitia suscipit quasi totam.,71.21,Lisandro Duarte,Inmobiliaria HM S.L.L.,Ficción
1568,Voluptatibus iusto temporibus animi veritatis.,47.34,Cornelio Donoso Mateo,Hermanos Uría S.Com.,Ficción
1572,Delectus distinctio consectetur nisi id.,81.36,Teodoro Codina Royo,Samu Gual Marí S.L.,Ficción
1574,Minus atque nobis doloribus reiciendis.,69.43,Eduardo Belmonte,Gisela Llamas Nieto S.L.L.,Ficción
1576,Est asperiores magni fugit suscipit quae.,26.74,Francisco Jose Marí-Orozco,Carrión y asociados S.L.L.,Ficción
1588,Facilis deserunt libero.,87.03,Begoña Galvez,Transportes Santos S.Coop.,Ficción
1598,Dolores quos placeat quo maxime.,84.82,Lino Ortega Iglesias,Fortunato Llopis Riera S.A.,Ficción
1599,Iusto eius voluptatum vel odit magni.,73.22,Angelina Salcedo Ramón,Familia Tejero S.Coop.,Ficción
1602,Iste porro aspernatur repudiandae ea.,42.01,León Gabaldón Puig,Carbó y asociados S.Coop.,Ficción
1610,Optio ea nihil molestias.,84.74,Adelia Somoza Bernad,Supermercados Pacheco S.L.N.E,Ficción
1613,Est sed molestiae possimus.,42.67,Alex Balaguer,Cruz Moreno Quiroga S.A.,Ficción
1615,Voluptatum cupiditate placeat recusandae veritatis inventore.,87.87,Teobaldo Che Hernandez Marco,Servicios FFN S.A.,Ficción
1618,Quibusdam adipisci laudantium labore.,40.36,Artemio Girona,Banco FRG S.L.L.,Ficción
1632,In maiores labore.,19.76,Alberto Vaquero,Mendoza y Barba S.Com.,Ficción
1635,Quos maxime facere molestiae recusandae.,45.95,Melisa Cabanillas,Mendoza y Barba S.Com.,Ficción
1636,Consectetur corporis accusantium voluptates illo.,24.60,Concepción Velázquez Dalmau,Hermanos Uría S.Com.,Ficción
1640,Hic dolore optio.,28.32,Natalia Ariño Lucena,Hermanos Uría S.Com.,Ficción
1641,Possimus rerum hic voluptatum.,36.77,Alba Perlita Linares Revilla,Familia Diaz S.L.,Ficción
1642,Earum officiis laboriosam.,88.93,Bernardita Sáenz Hervia,Familia Tejero S.Coop.,Ficción
1643,Dicta optio expedita.,16.25,Marisol del Borja,Coello y asociados S.L.U.,Ficción
1662,Necessitatibus similique modi.,21.94,Tania Juliá Gárate,Fortunato Llopis Riera S.A.,Ficción
1669,Quaerat inventore ipsam ipsum facilis ipsum.,54.23,Lucas Casas Espejo,Tecnologías Ibéricos S.Coop.,Ficción
1672,Debitis molestiae commodi ratione.,55.61,Ildefonso Flor,Alonso & Asociados S.Coop.,Ficción
1675,Voluptate nam hic mollitia id.,53.43,Magdalena Benavente Bas,Martínez y Vigil S.L.N.E,Ficción
